Num Threads,Matrix Size,Time
2, 2, 0.000100542
4, 2, 0.00106483
8, 2, 0.000537208
16, 2, 0.000489708
32, 2, 0.000809083
64, 2, 0.00175246
2, 3, 9.6792e-05
4, 3, 0.00162483
8, 3, 0.000768458
16, 3, 0.000974
32, 3, 0.00210958
64, 3, 0.00176517
2, 4, 9.5041e-05
4, 4, 0.00215371
8, 4, 0.000440209
16, 4, 0.000600292
32, 4, 0.00134842
64, 4, 0.00198013
2, 8, 0.000124708
4, 8, 0.00263554
8, 8, 0.000638541
16, 8, 0.0009105
32, 8, 0.00149938
64, 8, 0.0020945
2, 10, 0.000103875
4, 10, 0.00106483
8, 10, 0.000649792
16, 10, 0.000643458
32, 10, 0.00163808
64, 10, 0.00241638
2, 16, 0.000218458
4, 16, 0.000231708
8, 16, 0.000795583
16, 16, 0.000789
32, 16, 0.00156771
64, 16, 0.00274075
2, 32, 0.0004695
4, 32, 0.00127263
8, 32, 0.000676958
16, 32, 0.0012565
32, 32, 0.00200929
64, 32, 0.00198617
2, 64, 0.00266208
4, 64, 0.00159658
8, 64, 0.00251571
16, 64, 0.00264054
32, 64, 0.00190971
64, 64, 0.00198446
2, 100, 0.00838596
4, 100, 0.0049765
8, 100, 0.00276092
16, 100, 0.00281604
32, 100, 0.00313892
64, 100, 0.0045045
2, 128, 0.00924646
4, 128, 0.00553204
8, 128, 0.00574292
16, 128, 0.00596075
32, 128, 0.00702442
64, 128, 0.00852079
2, 200, 0.0348844
4, 200, 0.0236757
8, 200, 0.0259774
16, 200, 0.0266275
32, 200, 0.035185
64, 200, 0.0453358
2, 256, 0.0532649
4, 256, 0.0326917
8, 256, 0.0393462
16, 256, 0.0410407
32, 256, 0.0493029
64, 256, 0.0832925
2, 512, 0.72492
4, 512, 0.50873
8, 512, 0.492475
16, 512, 0.489797
32, 512, 0.477769
64, 512, 0.598821
2, 1024, 6.98331
4, 1024, 4.55241
8, 1024, 4.56486
16, 1024, 4.62969
32, 1024, 4.40219
64, 1024, 4.33649
2, 2048, 140.533
4, 2048, 69.9398
8, 2048, 68.9825
16, 2048, 70.135
32, 2048, 68.7778
64, 2048, 69.7423

