Number of Characters, Sample Size, Time
2, 10, 1.05e-05
2, 100, 6.2084e-05
2, 1000, 0.00025325
2, 10000, 0.00235583
2, 100000, 0.0237302
4, 100000, 0.0490517
4, 10000, 0.00471342
4, 1000, 0.000476709
4, 100, 5.1125e-05
4, 10, 9.6917e-05
8, 10, 4.0708e-05
8, 100, 0.000130709
8, 1000, 0.00123067
8, 10000, 0.00976971
8, 100000, 0.106336
8, 1000000, 1.16682
10, 10, 2.1e-05
10, 100, 0.000311
10, 1000, 0.00115788
10, 10000, 0.0119434
10, 100000, 0.11685
16, 10, 6.1166e-05
16, 100, 0.000471666
16, 1000, 0.00244087
16, 10000, 0.0187939
16, 100000, 0.186934
20, 10, 4.075e-05
20, 100, 0.0002635
20, 1000, 0.00231333
20, 10000, 0.0235752
20, 100000, 0.264228
